id	formula	adduct	mz	rt	fold_change	p-value	ratio		
TTOF0036	C18H19ClN4	+H	327.1369	5.25	0.49	0.000	1/2		
TTOF0037	C21H21NO6	+H	384.144	4.18	0.06	0.000	1/16		
TTOF0038	C14H22N2O	+H	235.1802	3.57	0.46	0.002	1/2		
TTOF0039	C13H10N2	+H	195.0917	3.52	0.86	0.090	1/1		
TTOF0040	C22H26F3N3OS	+H	438.182	15.81	0.28	0.000	1/4		
TTOF0041	C20H21ClO4	+H	361.1199	31.6	1.82	0.031	2/1		
TTOF0042	C15H15NO2	+H	242.1175	25.46	1.32	0.133	1/1		
TTOF0043	C25H35NO5	+H	430.2586	12.39	0.51	0.000	1/2		
TTOF0044	C12H21N	+H	180.1747	5.24	2.32	0.001	2/1		
TTOF0045	C24H26BrN3O3	+H	484.1226	14.09	4.93	0.001	4/1		
TTOF0046	C26H29N3O6	+H	480.2131	12.8	0.28	0.000	1/4		
TTOF0047	C17H19NO	+H	254.1539	5.32	0.06	0.000	1/16		
TTOF0048	C10H9ClN4O2S	+H	285.0206	4.68	2.63	0.005	2/1		
TTOF0049	C12H14N4O4S	+H	311.0809	7.22	0.05	0.000	1/16		
TTOF0050	C18H15Cl3N2S	+H	397.0093	22.58	15.95	0.000	16/1		
TTOF0051	C20H35NOS	+H	338.2514	25.45	1.80	0.001	2/1		
TTOF0052	C25H28O3	+H	377.2109	31.56	0.14	0.000	1/4		
TTOF0053	C18H15Cl3N2O	+H	381.0322	21.68	19.29	0.000	16/1		
TTOF0054	C14H21N3O3S	+H	312.1378	16.24	5.18	0.000	4/1		
TTOF0055	C17H13N3O5S2	+H	404.0368	5.23	5.25	0.000	4/1		
TTOF0056	C23H31NO2	+H	354.2429	20.1	0.28	0.000	1/4		
TTOF0057	C21H25NO2	+H	324.196	10.55	1.97	0.001	2/1		
TTOF0058	C32H47F5O3S	+H	607.3224	31.18	0.15	0.000	1/4		
TTOF0059	C25H32ClN5O2	+H	470.2307	16.48	0.41	0.025	1/2		
TTOF0060	C23H27FN4O3	+H	427.2136	4.62	3.79	0.000	4/1		
TTOF0061	C19H28N2O4	+H	349.2121	3.64	1.25	0.055	1/1		
TTOF0062	C21H19F2N3O3	+H	400.1475	4.07	0.35	0.001	1/2		
TTOF0063	C19H21NS	+H	296.1469	11.69	2.06	0.001	2/1		
TTOF0064	C21H35NO	+H	318.2793	21.44	1.84	0.004	2/1		
TTOF0065	C25H31NO6	+H	442.2221	17.92	18.53	0.000	16/1		
TTOF0066	C50H75NO14	+H	914.5269	31.72	0.14	0.000	1/4		
TTOF0067	C15H13ClFNO2	+H	294.069	27.23	4.65	0.000	4/1		
TTOF0068	C17H19N3	+H	266.1653	6.48	14.97	0.000	16/1		
TTOF0069	C19H24N2O4	+H	345.1807	3.94	1.22	0.017	1/1		
TTOF0070	C22H38O5	+H	383.2803	5.33	1.00	0.978	1/1		
TTOF0071	C22H38O5	+H	383.2789	31.12	1.41	0.032	1/1		
TTOF0072	C12H20N4O7	+H	333.1403	0.64	4.76	0.000	4/1		
TTOF0073	C25H37NO4	+H	416.2774	18.99	1.16	0.155	1/1		
TTOF0074	C17H16FN3O2S	+H	346.1019	5.3	1.08	0.613	1/1		
TTOF0075	C22H28F2O5	+H	411.1975	12.3	1.14	0.038	1/1		
TTOF0076	C22H28O2	+H	325.2163	25.66	1.18	0.002	1/1		
TTOF0077	C49H66N10O10S2	+H	1019.4478	4.46	1.68	0.070	1/1		
TTOF0078	C20H15BrN6O	+H	435.0565	29.5	1.06	0.519	1/1		
TTOF0079	C18H18ClNO5	+H	364.0948	26.56	1.16	0.005	1/1		
TTOF0080	C9H11NO5	+H	214.071	0.67	3.06	0.000	4/1		
TTOF0081	C13H16N2	+H	201.1385	5.12	1.04	0.768	1/1		
TTOF0082	C27H36N2O5	+H	469.2698	5.36	1.19	0.040	1/1		
TTOF0083	C20H25NO2	+H	312.1959	13.1	1.02	0.895	1/1		
TTOF0084	C10H8F2N4O	+H	239.0743	15.17	1.36	0.006	1/1		
TTOF0085	C19H30O3	+H	307.2267	17.53	1.19	0.015	1/1		
TTOF0086	C19H20N2O3	+H	325.1546	4.29	1.22	0.008	1/1		
TTOF0087	C15H28N4O4	+H	329.2172	3.37	1.16	0.046	1/1		
TTOF0088	C30H34N2O3	+H	471.264	12.3	0.99	0.662	1/1		
TTOF0089	C36H41N3O6	+H	612.307	25.49	1.06	0.740	1/1		
TTOF0090	C20H29FO3	+H	337.2176	13.04	1.30	0.000	1/1		
TTOF0091	C18H26ClN3O3	+H	368.1737	3.71	1.18	0.045	1/1		
TTOF0092	C25H24FNO4	+H	422.176	6.05	0.97	0.553	1/1		
TTOF0093	C22H36N2O5S	+H	441.2419	8.4	1.17	0.057	1/1		
TTOF0094	C15H15NO3	+H	258.1127	16.84	1.64	0.059	1/1		
TTOF0095	C16H21N5O2	+H	316.1766	3.28	1.17	0.083	1/1		
TTOF0096	C14H23NO	+H	222.1854	4.09	1.04	0.370	1/1		
TTOF0097	C45H57NO14	+H	836.3853	30.08	1.15	0.801	1/1		
TTOF0098	C19H21N3O	+H	308.1756	3.71	1.37	0.043	1/1		
TTOF0099	C31H43NO7	+H	542.3112	32.2	1.05	0.486	1/1		
TTOF0100	C32H45NO7	+H	556.3274	32.61	1.12	0.489	1/1		
TTOF0101	C21H23N7O2S	+H	438.1702	6.2	1.43	0.015	1/1		
TTOF0102	C15H13NO3	+H	256.0969	15.53	1.17	0.048	1/1		
TTOF0103	C12H15N5O3	+H	278.1214	24.24	1.37	0.003	1/1		
TTOF0104	C19H18N4O2	+H	335.1502	4.46	1.25	0.004	1/1		
TTOF0105	C39H37F6N3O2	+H	694.2863	25.95	1.20	0.366	1/1		
TTOF0106	C20H25NO3	+H	328.1908	6.34	1.15	0.008	1/1		
TTOF0107	C15H22N2O	+H	247.1803	4.88	1.26	0.181	1/1		
TTOF0108	C11H21N	+H	168.1742	3.63	1.06	0.561	1/1		
TTOF0109	C19H17N5O2	+H	348.1453	3.23	1.02	0.887	1/1		
TTOF0110	C14H17N3O2S	+H	292.1114	3.22	1.59	0.008	2/1		
TTOF0111	C27H31N7OS	+H	502.2384	23.18	1.40	0.008	1/1		
TTOF0112	C34H38N3O7P	+H	632.2532	31.15	0.84	0.423	1/1		
TTOF0113	C27H37N3O7S	+H	548.2423	22.09	1.34	0.015	1/1		
TTOF0114	C30H29ClN6O3	+H	557.2059	4.72	0.97	0.871	1/1		
TTOF0115	C23H26ClN7O3	+H	484.1858	8.47	1.14	0.222	1/1		
TTOF0116	C21H30N4O5S	+H	451.2005	7.81	1.15	0.023	1/1		
TTOF0117	C32H39NO2	+H	470.3052	27.72	1.15	0.080	1/1		
TTOF0118	C26H25ClN2O3	+H	449.1626	25.82	1.16	0.049	1/1		
TTOF0119	C18H22F2N4O	+H	349.1835	4.82	1.25	0.007	1/1		
TTOF0120	C20H19F2N3O5	+H	420.1363	13.86	1.04	0.303	1/1		
TTOF0121	C22H18N6	+H	367.1666	11.04	1.21	0.025	1/1		
TTOF0122	C16H18O9	+H	355.1022	3.34	1.29	0.027	1/1		
TTOF0123	C21H26O2	+H	311.2005	21.85	1.08	0.379	1/1		
TTOF0124	C19H22N2O	+H	295.1806	5.19	1.03	0.715	1/1		
TTOF0125	C31H48O6	+H	517.3534	30.95	1.08	0.518	1/1		
TTOF0126	C15H17ClN4	+H	289.1215	25.35	1.06	0.157	1/1		
TTOF0127	C13H17ClN2O2	+H	269.105	3.56	1.11	0.096	1/1		
TTOF0128	C20H23NO4	+H	342.1695	3.32	1.26	0.066	1/1		
TTOF0129	C14H18N2O	+H	231.1493	24.21	1.11	0.027	1/1		
TTOF0130	C20H21FN2O	+H	325.1712	8.43	1.09	0.034	1/1		
TTOF0131	C27H29NO10	+H	528.186	10.47	1.27	0.001	1/1		
TTOF0132	C22H24BrFN4O2	+H	475.1137	4.26	0.68	0.044	1/1		
TTOF0133	C6H13N5O	+H	172.119	0.58	1.35	0.125	1/1		
TTOF0134	C22H29N3O4S	+H	432.1946	3.62	1.08	0.494	1/1		
TTOF0135	C24H34O4	+H	387.2532	28.98	1.16	0.060	1/1		
TTOF0136	C15H14N2O2	+H	255.1128	10.47	1.11	0.042	1/1		
TTOF0137	C17H19N3O	+H	282.1603	5.24	1.00	0.991	1/1		
TTOF0138	C15H24N2O4S	+H	329.1532	3.27	1.06	0.701	1/1		
TTOF0139	C9H12ClN5O	+H	242.0803	0.6	0.64	0.041	1/2		
TTOF0140	C21H27ClN2O2	+H	375.1836	12.34	1.13	0.135	1/1		
TTOF0141	C14H10N4O5	+H	315.0722	11.99	1.16	0.155	1/1		
TTOF0142	C24H25FN6O	+H	433.2145	6.07	1.17	0.039	1/1		
TTOF0143	C10H15N5	+H	206.1399	3.71	1.14	0.082	1/1		
TTOF0144	C17H21NO3	+H	288.1593	0.59	1.43	0.125	1/1		
TTOF0145	C24H30O6	+H	415.2118	22.78	1.11	0.060	1/1		
TTOF0146	C17H14Cl2F2N2O3	+H	403.0424	27.42	1.07	0.145	1/1		
TTOF0147	C20H22N8O5	+H	455.1755	27.82	1.15	0.148	1/1		
TTOF0148	C19H27N5O5	+H	406.2084	3.76	1.17	0.092	1/1		
TTOF0149	C19H29NO5	+H	352.212	14.42	1.15	0.055	1/1		
TTOF0150	C25H25Cl2N7O	+H	510.1568	13.19	1.27	0.001	1/1		
TTOF0151	C25H24N6O2	+H	441.2036	21.57	1.14	0.199	1/1		
TTOF0152	C15H14N2O4S	+H	319.0745	8.24	1.22	0.053	1/1		
TTOF0153	C43H65FN6O10	+H	845.4821	11.47	0.83	0.085	1/1		
TTOF0154	C23H21F7N4O3	+H	535.1577	28.13	1.19	0.062	1/1		
TTOF0155	C31H33N5O4	+H	540.2607	12.55	1.16	0.235	1/1		
TTOF0156	C23H22F7N4O6P	+H	615.1235	24.23	1.26	0.003	1/1		
TTOF0157	C24H29N7O2	+H	448.2452	4.7	1.13	0.261	1/1		
TTOF0158	C24H25FO5S	+H	445.1463	9.27	1.29	0.009	1/1		
TTOF0159	C18H28N2O	+H	289.2276	5.56	1.05	0.338	1/1		
TTOF0160	C19H18N2O4S	+H	371.1062	24.73	1.33	0.007	1/1		
TTOF0161	C21H15ClF4N4O3	+H	483.0844	29.61	1.27	0.081	1/1		
TTOF0162	C56H71N9O23S	+H	1270.4467	26.22	0.81	0.362	1/1		
TTOF0163	C40H57N5O7	+H	720.4335	24.74	0.94	0.701	1/1		
TTOF0164	C30H46NO7P	+H	564.3079	31.29	1.10	0.280	1/1		
TTOF0165	C24H26FNO4	+H	412.1917	26.95	1.11	0.010	1/1		
TTOF0166	C46H62N4O11	+H	847.4493	22.47	0.86	0.045	1/1		
TTOF0167	C18H19N3O	+H	294.1646	4.51	1.04	0.833	1/1		
TTOF0168	C18H20N2O2S	+H	329.1328	31.56	0.99	0.879	1/1		
TTOF0169	C16H25NO4	+H	296.1858	4.41	0.92	0.028	1/1		
TTOF0170	C12H16N2S	+H	221.1109	3.86	1.05	0.423	1/1		
TTOF0171	C17H25N3O2	+H	304.2008	3.2	1.07	0.505	1/1		
TTOF0172	C25H32F3N3O4	+H	496.2416	4.53	1.27	0.141	1/1		
TTOF0173	C22H22N2O4	+H	379.1639	27.68	1.16	0.288	1/1		
TTOF0174	C18H20FN5O4	+H	390.1576	4.43	1.13	0.109	1/1		
TTOF0175	C15H18N8O5	+H	391.1471	3.27	1.14	0.208	1/1		
TTOF0176	C15H9FN2O3	+H	285.0669	24.8	1.13	0.172	1/1		
TTOF0177	C17H15FN6O3	+H	371.1259	8.02	1.32	0.002	1/1		
TTOF0178	C19H33NO2	+H	308.2586	24.7	1.14	0.027	1/1		
TTOF0179	C20H25NO2S2	+H	376.1451	12.96	1.37	0.015	1/1		
TTOF0180	C23H23ClN6O2	+H	451.1646	28.83	1.08	0.140	1/1		
TTOF0181	C9H14N4O3	+H	227.1115	3.82	1.23	0.013	1/1		
TTOF0182	C26H23FIN5O4	+H	616.0846	27.2	1.21	0.094	1/1		
TTOF0183	C22H24FN5O4	+H	442.1883	15.58	1.34	0.003	1/1		
TTOF0184	C24H23N5O	+H	398.1978	10.95	1.20	0.007	1/1		
TTOF0185	C18H22N2	+H	267.1856	7.84	0.97	0.733	1/1		
TTOF0186	C25H25N5O4	+H	460.1975	11.39	1.25	0.028	1/1		
TTOF0187	C28H36N4O2S	+H	493.2632	18.09	1.08	0.082	1/1		
TTOF0188	C21H21FN2O4S	+H	417.1279	25.46	1.16	0.111	1/1		
TTOF0189	C20H22N4O5	+H	399.166	4.11	1.07	0.254	1/1		
TTOF0190	C10H17NOS	+H	200.1096	0.59	3.25	0.002	4/1		
TTOF0191	C12H11NO	+H	186.0911	6.22	0.85	0.315	1/1		
TTOF0192	C14H9ClF3NO2	+H	316.0342	28.14	1.04	0.568	1/1		
TTOF0193	C43H68ClNO11	+H	810.4553	32.27	1.02	0.684	1/1		
TTOF0194	C21H19N3O5	+H	394.1395	12.83	1.01	0.893	1/1		
TTOF0195	C26H26F3N3O3	+H	486.2001	28.43	0.93	0.328	1/1		
TTOF0196	C21H30Cl2N2O5	+H	461.1596	27.85	0.94	0.413	1/1		
TTOF0197	C15H21N3O2S	+H	308.1427	3.91	0.96	0.278	1/1		
TTOF0198	C22H18FN7O	+H	416.1626	9.45	0.87	0.396	1/1		
TTOF0199	C20H30N4O2	+H	359.2441	3.18	1.79	0.011	2/1		
TTOF0200	C23H26O3	+H	351.1951	32.4	1.04	0.174	1/1		
TTOF0201	C18H23NO3	+H	302.1751	3.54	1.21	0.035	1/1		
TTOF0202	C19H30O5	+H	339.2171	3.79	0.04	0.000	1/16		
TTOF0203	C10H19O6PS2	+H	331.0429	27.45	1.17	0.004	1/1		
TTOF0204	C12H17NO	+H	192.1383	13.95	1.00	0.895	1/1		
TTOF0205	C21H45N3	+H	340.3688	29.09	1.26	0.002	1/1		
TTOF0206	C22H42N4O8S2	+H	555.2517	3.68	1.20	0.134	1/1		
TTOF0207	C12H21N2O3PS	+H	305.1085	29.93	1.09	0.162	1/1		
TTOF0208	C6H8N2	+H	109.0756	0.55	2.85	0.000	4/1		
TTOF0209	C13H17NO	+H	204.1382	18.34	1.13	0.084	1/1		
TTOF0210	C18H26O3	+H	291.1956	32.26	1.14	0.082	1/1		
TTOF0211	C24H27NO2	+H	362.2113	32.22	1.07	0.385	1/1		
TTOF0212	C4H7Cl2O4P	+H	220.9531	8.85	1.05	0.607	1/1		
TTOF0213	C16H22O4	+H	279.1593	31.34	1.06	0.432	1/1		
TTOF0214	C17H26N2O	+H	275.212	4.36	0.83	0.009	1/1		
TTOF0215	C24H33N3O4	+H	428.2543	6.77	0.89	0.057	1/1		
TTOF0216	C11H16ClNO	+H	214.0993	3.57	0.96	0.669	1/1		
TTOF0217	C21H19ClN4O4	+H	427.1165	4.29	1.38	0.006	1/1		
TTOF0218	C21H30O4	+H	347.2215	13.23	1.13	0.013	1/1		
TTOF0219	C22H26ClN7O2S	+H	488.1626	6.95	1.22	0.018	1/1		
TTOF0220	C23H32N6O4S	+H	489.2277	10.47	1.10	0.319	1/1		
TTOF0221	C21H43N5O7	+H	478.3215	30.17	0.90	0.852	1/1		
TTOF0222	C20H41N5O7	+H	464.3071	0.72	1.02	0.933	1/1		
TTOF0223	C19H39N5O7	+H	450.2886	33.7	0.95	0.320	1/1		
TTOF0224	C12H12N2O3	+H	233.0922	9.44	1.34	0.032	1/1		
TTOF0225	C28H36ClN5O3S	+H	558.2299	22.03	0.96	0.490	1/1		
TTOF0226	C21H20O9	+H	417.1177	3.4	1.13	0.060	1/1		
TTOF0227	C27H30F6N2O2	+H	529.2286	30.87	1.02	0.676	1/1		
TTOF0228	C20H26N2O4	+H	359.1963	3.79	1.16	0.007	1/1		
TTOF0229	C16H20N6O	+H	313.177	3.39	1.24	0.030	1/1		
TTOF0230	C19H20FNO3	+H	330.1501	10.95	1.11	0.178	1/1		
TTOF0231	C24H32O7	+H	433.2223	22.78	1.09	0.062	1/1		
TTOF0232	C13H15NO3	+H	234.1125	11.53	1.04	0.489	1/1		
TTOF0233	C21H21ClN4OS	+H	413.1196	7.42	1.16	0.010	1/1		
TTOF0234	C9H10N2O	+H	163.0858	5.69	1.23	0.019	1/1		
TTOF0235	C18H25N3O2	+H	316.2018	3.44	1.20	0.006	1/1		
TTOF0236	C12H13NO3	+H	220.0968	6.85	0.85	0.004	1/1		
TTOF0237	C14H10N2O	+H	223.0867	10.99	1.16	0.052	1/1		
TTOF0238	C7H6N2	+H	119.0602	5.16	1.15	0.382	1/1		
TTOF0239	C7H4ClNOS	+H	185.9774	10.96	1.20	0.023	1/1		
TTOF0240	C12H11N5	+H	226.1087	3.82	1.34	0.005	1/1		
TTOF0241	C20H25NO	+H	296.2011	6.7	1.09	0.260	1/1		
TTOF0242	C18H27NO3	+H	306.2068	3.2	1.03	0.586	1/1		
TTOF0243	C25H32N2O4	+H	425.2436	5.73	1.41	0.001	1/1		
TTOF0244	C25H32N2O6	+H	457.2334	8.65	0.98	0.762	1/1		
TTOF0245	C15H10O2	+H	223.0755	21.21	0.99	0.889	1/1		
TTOF0246	C9H9I2NO3	+H	433.874	3.5	1.30	0.003	1/1		
TTOF0247	C8H13NO2	+H	156.1013	0.59	1.32	0.059	1/1		
TTOF0248	C42H70O35	+H	1135.377	0.97	1.38	0.252	1/1		
TTOF0249	C17H28O6	+H	329.1942	6.34	1.13	0.036	1/1		
TTOF0250	C10H6O3	+H	175.0363	31.21	0.89	0.435	1/1		
TTOF0251	C15H12O2	+H	225.091	19.11	1.28	0.021	1/1		
TTOF0252	C11H8O3	+H	189.0543	7.96	1.29	0.015	1/1		
TTOF0253	C22H31N3O3	+H	386.244	7.78	1.11	0.176	1/1		
TTOF0254	C20H31NO2	+H	318.243	17.74	0.98	0.663	1/1		
TTOF0255	C13H16N4O6	+H	325.114	3.17	0.99	0.698	1/1		
TTOF0256	C13H16N4O6	+H	325.1152	21.77	1.36	0.014	2/1		
TTOF0257	C21H18O11	+H	447.0919	6.47	1.30	0.003	1/1		
TTOF0258	C15H24N2O2	+H	265.1909	0.59	1.83	0.052	2/1		
TTOF0259	C15H24N2O	+H	249.1959	0.59	2.94	0.015	4/1		
TTOF0260	C22H16N4O3	+H	385.1296	4.51	1.48	0.001	1/1		
TTOF0261	C14H22N4O4S	+H	343.1434	4.38	1.12	0.193	1/1		
TTOF0262	C24H27FN2O2	+H	395.213	10.81	1.15	0.034	1/1		
TTOF0263	C24H32N2O2	+H	381.2538	12.02	0.96	0.433	1/1		
TTOF0264	C24H32N6O3	+H	453.261	4.83	1.12	0.017	1/1		
TTOF0265	C17H19N3O2S	+H	330.1272	5.39	1.19	0.008	1/1		
TTOF0266	C18H14N6O2	+H	347.1249	3.96	1.40	0.001	1/1		
TTOF0267	C28H40BrN7O4	+H	618.2396	7.89	1.04	0.749	1/1		
TTOF0268	C26H29ClN2O4S	+H	501.161	22.01	1.04	0.302	1/1		
TTOF0269	C26H26F3N7O2	+H	526.2176	23.1	1.08	0.304	1/1		
TTOF0270	C19H19N5O	+H	334.1664	29.61	1.17	0.002	1/1		
TTOF0271	C14H10F3NO5	+H	330.0582	25.7	1.17	0.018	1/1		
TTOF0272	C21H24N4O2S	+H	397.1691	6.29	1.68	0.009	1/1		
TTOF0273	C19H17Cl3N4O3	+H	455.0437	26.85	0.97	0.676	1/1		
TTOF0274	C18H19FN2O2	+H	315.1502	7.5	1.23	0.000	1/1		
TTOF0275	C26H28N8O	+H	469.2459	7.16	1.02	0.621	1/1		
TTOF0276	C21H22FN3O	+H	352.1818	5.17	1.18	0.068	1/1		
TTOF0277	C16H15N7O	+H	322.141	5.35	1.04	0.751	1/1		
TTOF0278	C27H32N8O2	+H	501.2786	5.58	0.96	0.600	1/1		
TTOF0279	C23H23O2N5	+H	402.1926	26.33	1.06	0.316	1/1		
TTOF0280	C18H14N4	+H	287.1293	3.39	1.07	0.469	1/1		
TTOF0281	C19H21ClN4	+H	341.1524	3.42	1.45	0.007	1/1		
TTOF0282	C26H24N8O2	+H	481.2092	3.75	1.26	0.000	1/1		
TTOF0283	C21H24ClFN4O3	+H	435.159	6.51	1.27	0.022	1/1		
TTOF0284	C24H17N3O6	+H	444.1191	26.9	1.22	0.015	1/1		
TTOF0285	C25H25ClN6O4S	+H	541.1421	21.88	1.24	0.010	1/1		
TTOF0286	C26H19ClN8	+H	479.1491	6.93	1.37	0.010	1/1		
TTOF0287	C25H34FN3O2	+H	428.2709	18.57	1.09	0.335	1/1		
TTOF0288	C29H35N7O4	+H	546.2824	6.28	1.04	0.849	1/1		
TTOF0289	C34H44N4O4	+H	573.3429	3.92	1.24	0.172	1/1		
TTOF0290	C24H30N6O2	+H	435.2501	5.46	1.41	0.033	1/1		
TTOF0291	C22H22F3N3O3	+H	434.1688	12.73	1.17	0.033	1/1		
TTOF0292	C24H29ClN6OS	+H	485.1883	5.56	1.36	0.002	1/1		
TTOF0293	C21H24FN5O5S	+H	478.1557	26.23	1.08	0.056	1/1		
TTOF0294	C26H40N4	+H	409.3322	3.53	0.93	0.363	1/1		
TTOF0295	C11H11Cl2N	+H	228.0342	6.04	1.11	0.011	1/1		
TTOF0296	C36H46N8O3	+H	639.3768	13.6	1.17	0.151	1/1		
TTOF0297	C31H32BrNO4S2	+H	628.1011	31.91	1.10	0.325	1/1		
TTOF0298	C18H16ClN3O2	+H	342.1006	13.09	1.09	0.048	1/1		
TTOF0299	C27H31FN6OS	+H	507.2333	4.11	1.17	0.270	1/1		
TTOF0300	C24H22F3N5O5	+H	518.1647	27.73	1.31	0.021	1/1		
TTOF0301	C23H35N5O2	+H	414.2865	3.83	0.86	0.052	1/1		
TTOF0302	C26H36N6O3	+H	481.2919	4.64	1.04	0.605	1/1		
TTOF0303	C26H33FN4O3S	+H	501.2331	14.91	1.16	0.038	1/1		
TTOF0304	C18H11N3O2S	+H	334.0642	5.28	1.32	0.001	1/1		
TTOF0305	C15H15N7O	+H	310.1414	14.76	0.99	0.855	1/1		
TTOF0306	C24H25N5O4	+H	448.198	14.54	1.13	0.057	1/1		
TTOF0307	C19H19N3O2S	+H	354.1268	5.62	1.48	0.008	1/1		
TTOF0308	C23H26IN7O2S	+H	592.0988	8.33	1.05	0.484	1/1		
TTOF0309	C14H17IN4O2	+H	401.0467	9.03	1.26	0.080	1/1		
TTOF0310	C29H29ClN4O2	+H	501.2051	10.03	1.09	0.577	1/1		
TTOF0311	C30H31FN4O2	+H	499.2504	25.26	1.21	0.063	1/1		
TTOF0312	C15H19Cl2N3O4	+H	376.0823	5.49	1.30	0.007	1/1		
TTOF0313	C21H19Cl2IN4O2	+H	557.0004	30.58	1.04	0.042	1/1		
TTOF0314	C27H20ClFN4O4	+H	519.1233	26.83	1.09	0.385	1/1		
TTOF0315	C19H18ClN3O4	+H	388.1055	14.63	1.09	0.121	1/1		
TTOF0316	C16H11BrN2O	+H	327.012	22.3	1.16	0.073	1/1		
TTOF0317	C30H27N5O	+H	474.2288	21.77	1.31	0.022	1/1		
TTOF0318	C25H27N3O2S	+H	434.1895	10.41	1.26	0.022	1/1		
TTOF0319	C19H20ClN3O5S	+H	438.0883	26.18	1.27	0.011	1/1		
TTOF0320	C15H18N2	+H	227.1544	5.1	1.13	0.208	1/1		
TTOF0321	C14H16ClN5O2S	+H	354.0785	17.9	0.68	0.260	1/1		
TTOF0322	C28H23N7O2	+H	490.1985	16.95	1.21	0.001	1/1		
TTOF0323	C30H26F2N4O5	+H	561.1949	24.44	0.87	0.069	1/1		
TTOF0324	C23H25F4N3O3S	+H	500.1623	11.53	1.19	0.031	1/1		
TTOF0325	C30H25F10NO3	+H	638.1752	32.33	1.12	0.094	1/1		
TTOF0326	C19H17ClN2O5	+H	389.0899	17.63	1.07	0.255	1/1		
TTOF0327	C21H20N2OS3	+H	413.0807	30.76	1.14	0.022	1/1		
TTOF0328	C10H7NO2	+H	174.0535	5.35	1.39	0.003	1/1		
TTOF0329	C42H45ClN6O5S2	+H	813.2653	19.72	0.99	0.946	1/1		
TTOF0330	C20H20N4O3	+H	365.1609	15.51	1.12	0.136	1/1		
TTOF0331	C19H31N5O2	+H	362.2552	3.49	1.27	0.004	1/1		
TTOF0332	C9H9BrN2O3	+H	272.9868	5.65	1.27	0.001	1/1		
TTOF0333	C28H31N5O	+H	454.2596	6.43	0.58	0.005	1/2		
TTOF0334	C27H31FN4O2	+H	463.2503	19.33	0.96	0.517	1/1		
TTOF0335	C17H18N2O2	+H	283.1442	8.06	1.67	0.006	1/1		
TTOF0336	C9H7NO2	+H	162.0544	3.67	1.24	0.013	1/1		
TTOF0337	C21H23Cl2N5O2S	+H	480.1019	7.77	1.44	0.003	1/1		
TTOF0338	C22H31N3O2	+H	370.2489	5.57	0.88	0.056	1/1		
TTOF0339	C47H55ClF3N5O6S3	+H	974.3027	25.84	0.77	0.355	1/1		
