feature_id	mz	rt	adduct	formula	fold_change	p_value	ratio	is_differential
QEHF0047	399.0764	11.63	[M-H]+	C18H14N4O5S	0.242860909	3.3E-06	1\4	1
QEHF0048	317.1647	3.8	[M-H]+	C13H24N4O3S	0.057940162	7.67E-07	1\16	1
QEHF0049	308.1106	31.52	[M-H]+	C19H17NOS	1.833542707	0.000664765	2\1	1
QEHF0050	408.1721	16.82	[M-H]+	C21H24F3N3S	15.01425377	6.26E-07	16\1	1
QEHF0051	302.2482	11.27	[M-H]+	C20H31NO	0.259549775	5.38E-05	1\4	1
QEHF0052	256.1812	4.19	[M-H]+	C16H21N3	9.741178492	9.71E-07	16\1	1
QEHF0053	279.186	5.06	[M-H]+	C19H22N2	0.991611237	0.883094774	1\1	0
QEHF0054	245.2016	9.47	[M-H]+	C16H24N2	3.413161308	2.26E-05	4\1	1
QEHF0055	180.1022	5.84	[M-H]+	C10H13NO2	0.054837207	1.29E-08	1\16	1
QEHF0056	355.2022	4.37	[M-H]+	C21H26N2O3	1.992830306	5.45E-05	2\1	1
QEHF0057	337.2127	3.83	[M-H]+	C18H28N2O4	0.059541663	5.12E-07	1\16	1
QEHF0058	310.1264	5.58	[M-H]+	C19H19NOS	1.114813722	0.134053363	1\1	0
QEHF0059	327.1377	5.16	[M-H]+	C18H19ClN4	0.476985946	5.85E-05	1\2	1
QEHF0060	384.1448	4.19	[M-H]+	C21H21NO6	0.054398031	1.41E-06	1\16	1
QEHF0061	235.1808	3.63	[M-H]+	C14H22N2O	0.526999362	0.001134569	1\2	1
QEHF0062	195.092	3.56	[M-H]+	C13H10N2	1.033511021	0.395778403	1\1	0
QEHF0063	438.1831	15.66	[M-H]+	C22H26F3N3OS	0.292048089	8.99E-06	1\4	1
QEHF0064	361.1206	31.69	[M-H]+	C20H21ClO4	1.869754349	0.000950851	2\1	1
QEHF0065	242.1179	28.63	[M-H]+	C15H15NO2	4.477299577	0.000120492	4\1	1
QEHF0066	430.2596	12.38	[M-H]+	C25H35NO5	0.445903546	0.000545	1\2	1
QEHF0067	180.1749	5.27	[M-H]+	C12H21N	2.034925998	3.25E-05	2\1	1
QEHF0068	484.1241	14.08	[M-H]+	C24H26BrN3O3	4.197739317	2.02E-06	4\1	1
QEHF0069	480.214	12.7	[M-H]+	C26H29N3O6	0.366870694	1.2E-05	1\2	1
QEHF0070	254.1543	5.34	[M-H]+	C17H19NO	0.06323087	2.06E-05	1\16	1
QEHF0071	285.0211	4.62	[M-H]+	C10H9ClN4O2S	1.996882161	0.000135019	2\1	1
QEHF0072	311.0813	7.02	[M-H]+	C12H14N4O4S	0.082330353	9.1E-06	1\16	1
QEHF0073	397.0101	22.56	[M-H]+	C18H15Cl3N2S	14.56545777	3.85E-07	16\1	1
QEHF0074	338.2515	25.6	[M-H]+	C20H35NOS	1.724812505	6.35E-05	2\1	1
QEHF0075	377.2121	31.65	[M-H]+	C25H28O3	2.909812465	0.004360012	4\1	1
QEHF0076	381.0328	21.68	[M-H]+	C18H15Cl3N2O	15.14794043	3.8E-08	16\1	1
QEHF0077	312.1379	15.92	[M-H]+	C14H21N3O3S	4.019870211	6.92E-06	4\1	1
QEHF0078	404.0377	5.13	[M-H]+	C17H13N3O5S2	4.149291964	2.82E-06	4\1	1
QEHF0079	354.2431	20.16	[M-H]+	C23H31NO2	0.306955873	4.42E-05	1\4	1
QEHF0080	324.1962	10.52	[M-H]+	C21H25NO2	1.691609447	0.004894257	2\1	1
QEHF0081	607.3258	31.28	[M-H]+	C32H47F5O3S	0.217391255	0.00030689	1\4	1
QEHF0082	470.233	16.46	[M-H]+	C25H32ClN5O2	0.409436894	0.000191609	1\2	1
QEHF0083	427.2148	4.63	[M-H]+	C23H27FN4O3	3.682007718	4.07E-05	4\1	1
QEHF0084	349.2128	3.68	[M-H]+	C19H28N2O4	1.152131784	0.135630026	1\1	0
QEHF0085	296.147	11.64	[M-H]+	C19H21NS	1.686080175	0.002649556	2\1	1
QEHF0086	318.2795	21.55	[M-H]+	C21H35NO	1.733065899	0.003197484	2\1	1
QEHF0087	914.5281	31.81	[M-H]+	C50H75NO14	0.205039089	6.7E-05	1\4	1
QEHF0088	294.0696	27.12	[M-H]+	C15H13ClFNO2	4.290578693	1.32E-05	4\1	1
QEHF0089	266.1656	6.45	[M-H]+	C17H19N3	16.85447547	1.58E-06	16\1	1
QEHF0090	345.1816	3.97	[M-H]+	C19H24N2O4	1.049530937	0.377037559	1\1	0
QEHF0091	383.2796	31.23	[M-H]+	C22H38O5	0.828083008	0.047704021	1\1	0
QEHF0092	333.1409	0.6	[M-H]+	C12H20N4O7	0.953348445	0.31371924	1\1	0
QEHF0093	359.1641	3.65	[M-H]+	C16H26N2O5S	1.066305515	0.39367291	1\1	0
QEHF0094	416.2781	18.8	[M-H]+	C25H37NO4	1.091680374	0.261515068	1\1	0
QEHF0095	346.1026	5.27	[M-H]+	C17H16FN3O2S	1.073421688	0.01763578	1\1	0
QEHF0096	411.1968	32.46	[M-H]+	C22H28F2O5	0.959786898	0.660550253	1\1	0
QEHF0097	325.2167	25.51	[M-H]+	C22H28O2	0.905405835	0.118226263	1\1	0
QEHF0098	1019.4501	4.45	[M-H]+	C49H66N10O10S2	1.06711994	0.026911885	1\1	0
QEHF0099	435.0574	29.43	[M-H]+	C20H15BrN6O	0.954019209	0.459595556	1\1	0
QEHF0100	364.0951	26.39	[M-H]+	C18H18ClNO5	0.959957707	0.126489396	1\1	0
QEHF0101	214.0711	0.58	[M-H]+	C9H11NO5	0.918851629	0.24259583	1\1	0
QEHF0102	201.139	5.14	[M-H]+	C13H16N2	0.906098349	0.139826239	1\1	0
QEHF0103	469.271	5.39	[M-H]+	C27H36N2O5	0.79742132	0.037301323	1\1	0
QEHF0104	312.1961	12.8	[M-H]+	C20H25NO2	1.114843779	0.114467377	1\1	0
QEHF0105	239.0742	4.82	[M-H]+	C10H8F2N4O	0.99637698	0.952192257	1\1	0
QEHF0106	307.2271	17.26	[M-H]+	C19H30O3	1.058200734	0.344893661	1\1	0
QEHF0107	325.1552	4.3	[M-H]+	C19H20N2O3	0.934539812	0.425625677	1\1	0
QEHF0108	329.2188	3.41	[M-H]+	C15H28N4O4	1.030967768	0.529580935	1\1	0
QEHF0109	471.2655	12.15	[M-H]+	C30H34N2O3	1.308121773	0.027422333	1\1	0
QEHF0110	612.3079	25.62	[M-H]+	C36H41N3O6	0.905912468	0.008557368	1\1	0
QEHF0111	337.2178	12.84	[M-H]+	C20H29FO3	1.091342855	0.306946825	1\1	0
QEHF0112	368.1744	3.75	[M-H]+	C18H26ClN3O3	0.891794208	0.067383959	1\1	0
QEHF0113	441.2428	8.32	[M-H]+	C22H36N2O5S	0.987303029	0.580355854	1\1	0
QEHF0114	484.1621	15.44	[M-H]+	C26H29NO4S2	0.940866788	0.423954577	1\1	0
QEHF0115	258.1129	16.43	[M-H]+	C15H15NO3	0.98387739	0.804999661	1\1	0
QEHF0116	316.1774	3.33	[M-H]+	C16H21N5O2	1.004096202	0.964754134	1\1	0
QEHF0117	222.1855	4.12	[M-H]+	C14H23NO	0.853503643	0.193935312	1\1	0
QEHF0118	836.3872	30.1	[M-H]+	C45H57NO14	0.874647856	0.0647232	1\1	0
QEHF0119	308.1761	3.73	[M-H]+	C19H21N3O	1.115064456	0.130032907	1\1	0
QEHF0120	438.1718	6.13	[M-H]+	C21H23N7O2S	1.249956729	0.004637333	1\1	0
QEHF0121	256.0972	15.09	[M-H]+	C15H13NO3	1.003787399	0.947096477	1\1	0
QEHF0122	278.125	0.58	[M-H]+	C12H15N5O3	1.046855492	0.391452774	1\1	0
QEHF0123	615.3171	25.62	[M-H]+	C23H46N6O13	0.889003258	0.024623867	1\1	0
QEHF0124	335.1508	4.41	[M-H]+	C19H18N4O2	1.008175713	0.863497033	1\1	0
QEHF0125	694.2874	26.11	[M-H]+	C39H37F6N3O2	0.935475812	0.026303617	1\1	0
QEHF0126	328.1912	6.35	[M-H]+	C20H25NO3	0.719421066	0.00068349	1\1	0
QEHF0127	247.1809	4.92	[M-H]+	C15H22N2O	1.286475704	0.000775785	1\1	0
QEHF0128	168.175	3.7	[M-H]+	C11H21N	0.995354205	0.953198993	1\1	0
QEHF0129	348.146	0.58	[M-H]+	C19H17N5O2	0.971018509	0.775917274	1\1	0
QEHF0130	632.253	31.25	[M-H]+	C34H38N3O7P	0.933905696	0.180287888	1\1	0
QEHF0131	548.2435	21.68	[M-H]+	C27H37N3O7S	0.992643216	0.913994736	1\1	0
QEHF0132	557.2076	4.56	[M-H]+	C30H29ClN6O3	0.880129006	0.349638758	1\1	0
QEHF0133	484.1872	8.42	[M-H]+	C23H26ClN7O3	0.924471813	0.070288569	1\1	0
QEHF0134	451.2019	7.75	[M-H]+	C21H30N4O5S	1.098897278	0.115349972	1\1	0
QEHF0135	470.3062	27.89	[M-H]+	C32H39NO2	0.942066807	0.388469059	1\1	0
QEHF0136	449.1636	25.74	[M-H]+	C26H25ClN2O3	0.997061356	0.945498579	1\1	0
QEHF0137	448.1331	29.01	[M-H]+	C23H23ClFNO5	0.947115725	0.452789165	1\1	0
QEHF0138	349.1841	4.77	[M-H]+	C18H22F2N4O	1.139280094	0.148045186	1\1	0
QEHF0139	420.1372	13.54	[M-H]+	C20H19F2N3O5	1.112935155	0.260299857	1\1	0
QEHF0140	367.1672	10.72	[M-H]+	C22H18N6	0.993079372	0.867803813	1\1	0
QEHF0141	355.1028	3.38	[M-H]+	C16H18O9	1.130829417	0.095558585	1\1	0
QEHF0142	311.201	21.45	[M-H]+	C21H26O2	0.90195439	0.293458412	1\1	0
QEHF0143	295.1808	5.2	[M-H]+	C19H22N2O	0.877076713	0.007937607	1\1	0
QEHF0144	517.3543	31.12	[M-H]+	C31H48O6	0.979517923	0.771996699	1\1	0
QEHF0145	289.1218	25.17	[M-H]+	C15H17ClN4	0.891185844	0.094436683	1\1	0
QEHF0146	269.1056	3.61	[M-H]+	C13H17ClN2O2	1.036952482	0.37293987	1\1	0
QEHF0147	278.1906	9.94	[M-H]+	C20H23N	0.78004897	0.015820185	1\1	0
QEHF0148	231.1495	23.99	[M-H]+	C14H18N2O	1.008555104	0.626829176	1\1	0
QEHF0149	325.1715	8.36	[M-H]+	C20H21FN2O	1.004396532	0.877207016	1\1	0
QEHF0150	528.1878	10.42	[M-H]+	C27H29NO10	1.006707803	0.904952144	1\1	0
QEHF0151	475.1149	4.27	[M-H]+	C22H24BrFN4O2	0.694832911	0.001832556	1\1	0
QEHF0152	172.1195	0.58	[M-H]+	C6H13N5O	1.035175617	0.416143918	1\1	0
QEHF0153	432.196	3.67	[M-H]+	C22H29N3O4S	1.046589729	0.248934899	1\1	0
QEHF0154	387.2535	28.93	[M-H]+	C24H34O4	0.932743883	0.461903037	1\1	0
QEHF0155	255.1132	10.16	[M-H]+	C15H14N2O2	0.914406456	0.356918614	1\1	0
QEHF0156	282.1605	5.24	[M-H]+	C17H19N3O	1.059721911	0.46685013	1\1	0
QEHF0157	242.0807	0.58	[M-H]+	C9H12ClN5O	0.989440169	0.347857898	1\1	0
QEHF0158	375.184	12.32	[M-H]+	C21H27ClN2O2	0.906059233	0.091493409	1\1	0
QEHF0159	315.0726	11.56	[M-H]+	C14H10N4O5	0.920768778	0.661214609	1\1	0
QEHF0160	433.2156	5.96	[M-H]+	C24H25FN6O	1.013040746	0.45844101	1\1	0
QEHF0161	206.1404	3.7	[M-H]+	C10H15N5	1.040114943	0.706807736	1\1	0
QEHF0162	288.1598	0.58	[M-H]+	C17H21NO3	0.964837042	0.451830982	1\1	0
QEHF0163	415.212	26.96	[M-H]+	C24H30O6	0.984840624	0.782321858	1\1	0
QEHF0164	403.0429	27.35	[M-H]+	C17H14Cl2F2N2O3	0.877896123	0.048206682	1\1	0
QEHF0165	406.2092	3.79	[M-H]+	C19H27N5O5	1.047816417	0.444418424	1\1	0
QEHF0166	352.2124	14.45	[M-H]+	C19H29NO5	0.9746538	0.616534154	1\1	0
QEHF0167	510.1585	13.18	[M-H]+	C25H25Cl2N7O	1.129848655	0.027688096	1\1	0
QEHF0168	319.0753	7.95	[M-H]+	C15H14N2O4S	1.079261495	0.036202699	1\1	0
QEHF0169	845.4837	11.3	[M-H]+	C43H65FN6O10	0.865131977	0.055918738	1\1	0
QEHF0170	535.1584	28.14	[M-H]+	C23H21F7N4O3	0.911843568	0.190024883	1\1	0
QEHF0171	540.2617	12.46	[M-H]+	C31H33N5O4	1.100281898	0.120584361	1\1	0
QEHF0172	980.5722	31.7	[M-H]+	C53H83NO14	0.988416294	0.846194335	1\1	0
QEHF0173	445.1468	9.18	[M-H]+	C24H25FO5S	1.161459036	0.012090253	1\1	0
QEHF0174	289.2278	5.62	[M-H]+	C18H28N2O	0.835653862	0.046576507	1\1	0
QEHF0175	483.0852	29.56	[M-H]+	C21H15ClF4N4O3	0.948905315	0.157061113	1\1	0
QEHF0176	1270.4492	26	[M-H]+	C56H71N9O23S	1.073318068	0.337751586	1\1	0
QEHF0177	720.4344	24.82	[M-H]+	C40H57N5O7	0.976963123	0.508478862	1\1	0
QEHF0178	564.3096	31.39	[M-H]+	C30H46NO7P	0.892003491	0.21263731	1\1	0
QEHF0179	412.1925	26.93	[M-H]+	C24H26FNO4	0.981740742	0.790765959	1\1	0
QEHF0180	847.4508	22.72	[M-H]+	C46H62N4O11	0.93450101	0.275880141	1\1	0
QEHF0181	294.1604	4.53	[M-H]+	C18H19N3O	0.99595145	0.925628698	1\1	0
QEHF0182	329.1321	31.65	[M-H]+	C18H20N2O2S	0.81774892	0.062615522	1\1	0
QEHF0183	465.0944	28.87	[M-H]+	C21H16ClF3N4O3	0.951447733	0.28254301	1\1	0
QEHF0184	296.1859	4.43	[M-H]+	C16H25NO4	0.92262579	0.157386604	1\1	0
QEHF0185	221.1111	3.91	[M-H]+	C12H16N2S	1.007527805	0.859221426	1\1	0
QEHF0186	304.2023	0.58	[M-H]+	C17H25N3O2	0.976782409	0.653650215	1\1	0
QEHF0187	496.2429	4.48	[M-H]+	C25H32F3N3O4	1.215352119	0.004984539	1\1	0
QEHF0188	379.1657	25.44	[M-H]+	C22H22N2O4	0.884266938	0.069485582	1\1	0
QEHF0189	390.1578	4.42	[M-H]+	C18H20FN5O4	1.035051466	0.481015209	1\1	0
QEHF0190	391.1479	3.32	[M-H]+	C15H18N8O5	1.013759674	0.766476976	1\1	0
QEHF0191	502.1781	16.11	[M-H]+	C28H24FN3O5	1.057016231	0.326675465	1\1	0
QEHF0192	285.0673	24.55	[M-H]+	C15H9FN2O3	1.043777589	0.10740197	1\1	0
QEHF0193	371.1269	7.77	[M-H]+	C17H15FN6O3	0.853547065	0.060408518	1\1	0
QEHF0194	445.1641	14.42	[M-H]+	C20H21FN6O5	1.030950526	0.539043116	1\1	0
QEHF0195	308.2587	24.88	[M-H]+	C19H33NO2	0.951784172	0.013358757	1\1	0
QEHF0196	588.9704	29.77	[M-H]+	C19H20Br2N6O4S	0.924130579	0.216065263	1\1	0
QEHF0197	245.1401	0.58	[M-H]+	C13H16N4O	1.011374262	0.832693856	1\1	0
QEHF0198	376.1405	13.66	[M-H]+	C20H25NO2S2	1.002170043	0.966922812	1\1	0
QEHF0199	393.2178	9.62	[M-H]+	C24H28N2O3	0.915197609	0.051370543	1\1	0
QEHF0200	451.1654	28.81	[M-H]+	C23H23ClN6O2	0.907250678	0.112228579	1\1	0
QEHF0201	227.1142	0.61	[M-H]+	C9H14N4O3	1.14826497	0.071031011	1\1	0
QEHF0202	616.0869	27.2	[M-H]+	C26H23FIN5O4	0.814904132	0.048079764	1\1	0
QEHF0203	442.1894	15.54	[M-H]+	C22H24FN5O4	0.993431385	0.894483262	1\1	0
QEHF0204	398.1981	10.71	[M-H]+	C24H23N5O	0.91651688	0.006093052	1\1	0
QEHF0205	267.1859	7.8	[M-H]+	C18H22N2	1.082246491	0.036937089	1\1	0
QEHF0206	460.1987	11.17	[M-H]+	C25H25N5O4	1.022930585	0.636720651	1\1	0
QEHF0207	493.2638	18.1	[M-H]+	C28H36N4O2S	1.054898199	0.263018164	1\1	0
QEHF0208	417.1284	25.26	[M-H]+	C21H21FN2O4S	0.973666083	0.505648917	1\1	0
QEHF0209	299.1579	16.78	[M-H]+	C18H22N2S	0.975105514	0.681497796	1\1	0
QEHF0210	399.167	4.12	[M-H]+	C20H22N4O5	0.979519138	0.652287548	1\1	0
QEHF0211	186.0916	6.17	[M-H]+	C12H11NO	1.116623359	0.18851891	1\1	0
QEHF0212	307.1669	6.39	[M-H]+	C17H18N6	1.052441392	0.229344614	1\1	0
QEHF0213	316.0351	28.06	[M-H]+	C14H9ClF3NO2	0.90603908	0.519049414	1\1	0
QEHF0214	810.4564	32.42	[M-H]+	C43H68ClNO11	0.945354852	0.443665619	1\1	0
QEHF0215	394.1403	12.5	[M-H]+	C21H19N3O5	1.090461941	0.127147507	1\1	0
QEHF0216	463.0861	31.53	[M-H]+	C22H21Cl3N4O	0.965903052	0.439930891	1\1	0
QEHF0217	486.2011	28.32	[M-H]+	C26H26F3N3O3	0.907392957	0.122962763	1\1	0
QEHF0218	308.1431	3.94	[M-H]+	C15H21N3O2S	1.067157188	0.241756845	1\1	0
QEHF0219	416.1636	9.12	[M-H]+	C22H18FN7O	1.01012378	0.754733596	1\1	0
QEHF0220	351.1959	32.42	[M-H]+	C23H26O3	0.951301041	0.709876026	1\1	0
QEHF0221	392.2006	21.68	[M-H]+	C22H28FO5	1.050469148	0.551800366	1\1	0
QEHF0222	204.0303	0.64	[M-H]+	C5H11NO4S	0.744065943	0.000879342	1\1	0
QEHF0223	302.1754	3.57	[M-H]+	C18H23NO3	1.004081397	0.92726056	1\1	0
QEHF0224	339.2167	31.55	[M-H]+	C19H30O5	0.758018667	0.610062035	1\1	0
QEHF0225	331.0439	27.31	[M-H]+	C10H19O6PS2	0.839610046	0.148767699	1\1	0
QEHF0226	192.1385	13.76	[M-H]+	C12H17NO	0.975674078	0.752695408	1\1	0
QEHF0227	340.3695	29.27	[M-H]+	C21H45N3	1.126502457	0.474466449	1\1	0
QEHF0228	555.253	3.7	[M-H]+	C22H42N4O8S2	1.059407017	0.445382576	1\1	0
QEHF0229	178.1354	29.14	[M-H]+	C12H17O	1.267247561	0.253190728	1\1	0
QEHF0230	305.1084	29.89	[M-H]+	C12H21N2O3PS	0.875711184	0.089736257	1\1	0
QEHF0231	109.0763	0.59	[M-H]+	C6H8N2	0.942495744	0.220793544	1\1	0
QEHF0232	204.1386	18.06	[M-H]+	C13H17NO	0.944217081	0.430223849	1\1	0
QEHF0233	114.128	0.58	[M-H]+	C7H15N	0.961517152	0.296026959	1\1	0
QEHF0234	291.1957	32.3	[M-H]+	C18H26O3	0.956922224	0.718915059	1\1	0
QEHF0235	146.1177	0.58	[M-H]+	C7H15NO2	1.025447898	0.154638193	1\1	0
QEHF0236	362.2122	32.25	[M-H]+	C24H27NO2	0.941648325	0.780802931	1\1	0
QEHF0237	220.9536	8.65	[M-H]+	C4H7Cl2O4P	0.983804269	0.679602307	1\1	0
QEHF0238	279.1595	31.43	[M-H]+	C16H22O4	0.957812613	0.714843399	1\1	0
QEHF0239	275.2123	4.42	[M-H]+	C17H26N2O	0.85957929	0.009728646	1\1	0
QEHF0240	215.049	2.42	[M-H]+	C8H10N2O3S	0.927128767	0.321084765	1\1	0
QEHF0241	428.2553	6.76	[M-H]+	C24H33N3O4	0.940003815	0.355491286	1\1	0
QEHF0242	214.0996	3.63	[M-H]+	C11H16ClNO	0.966824019	0.63260718	1\1	0
QEHF0243	427.1176	4.26	[M-H]+	C21H19ClN4O4	1.043841823	0.449406242	1\1	0
QEHF0244	347.2223	13	[M-H]+	C21H30O4	1.050180657	0.673532025	1\1	0
QEHF0245	488.1642	6.85	[M-H]+	C22H26ClN7O2S	0.973782359	0.184140405	1\1	0
QEHF0246	489.229	10.46	[M-H]+	C23H32N6O4S	0.940252311	0.323858652	1\1	0
QEHF0247	245.1752	32.87	[M-H]+	C14H20N4	0.752881355	0.133830683	1\1	0
QEHF0248	233.0924	9.2	[M-H]+	C12H12N2O3	1.08529663	0.084778119	1\1	0
QEHF0249	558.2312	21.93	[M-H]+	C28H36ClN5O3S	0.890160486	0.034166362	1\1	0
QEHF0250	406.2343	3.35	[M-H]+	C21H31N3O5	1.066872796	0.295164401	1\1	0
QEHF0251	445.1615	5.21	[M-H]+	C22H24N2O8	0.980142084	0.613268024	1\1	0
QEHF0252	417.1186	3.43	[M-H]+	C21H20O9	0.925159451	0.063864829	1\1	0
QEHF0253	529.2294	30.89	[M-H]+	C27H30F6N2O2	0.934641654	0.107532317	1\1	0
QEHF0254	359.1972	3.83	[M-H]+	C20H26N2O4	1.06981159	0.066691566	1\1	0
QEHF0255	313.1776	3.43	[M-H]+	C16H20N6O	1.015059586	0.813695788	1\1	0
QEHF0256	330.1505	10.85	[M-H]+	C19H20FNO3	0.993872138	0.903062649	1\1	0
QEHF0257	433.2228	22.61	[M-H]+	C24H32O7	0.88568122	0.048868411	1\1	0
QEHF0258	234.1128	11.21	[M-H]+	C13H15NO3	1.024265532	0.774619987	1\1	0
QEHF0259	413.1203	7.33	[M-H]+	C21H21ClN4OS	1.048614876	0.159086937	1\1	0
QEHF0260	328.1583	3.39	[M-H]+	C16H25NO4S	1.064686416	0.033417421	1\1	0
QEHF0261	163.0868	5.62	[M-H]+	C9H10N2O	0.9430042	0.229366502	1\1	0
QEHF0262	316.2025	3.49	[M-H]+	C18H25N3O2	1.064064927	0.372936154	1\1	0
QEHF0263	223.0869	10.5	[M-H]+	C14H10N2O	0.936740141	0.631261181	1\1	0
QEHF0264	119.0606	5.08	[M-H]+	C7H6N2	0.918416008	0.143005879	1\1	0
QEHF0265	185.9776	10.63	[M-H]+	C7H4ClNOS	0.941689858	0.701786198	1\1	0
QEHF0266	226.109	3.81	[M-H]+	C12H11N5	0.976191718	0.645149127	1\1	0
QEHF0267	296.2012	6.71	[M-H]+	C20H25NO	0.994828472	0.896853973	1\1	0
QEHF0268	425.2443	5.67	[M-H]+	C25H32N2O4	1.161481464	0.083984296	1\1	0
QEHF0269	457.2343	8.6	[M-H]+	C25H32N2O6	0.876558648	0.015437544	1\1	0
QEHF0270	223.0757	20.79	[M-H]+	C15H10O2	0.972566951	0.758959689	1\1	0
QEHF0271	433.8753	3.54	[M-H]+	C9H9I2NO3	1.035506843	0.647454184	1\1	0
QEHF0272	156.1024	0.58	[M-H]+	C8H13NO2	0.970255415	0.412560072	1\1	0
QEHF0273	329.1947	6.35	[M-H]+	C17H28O6	0.677171943	0.002393589	1\1	0
QEHF0274	175.0392	29.15	[M-H]+	C10H6O3	1.117787353	0.711055115	1\1	0
QEHF0275	225.0913	18.59	[M-H]+	C15H12O2	1.136203769	0.084520099	1\1	0
QEHF0276	189.0549	7.76	[M-H]+	C11H8O3	1.108605079	0.312459786	1\1	0
QEHF0277	331.2597	6.23	[M-H]+	C20H36O2	0.997269015	0.989603598	1\1	0
QEHF0278	386.2444	7.77	[M-H]+	C22H31N3O3	1.106208829	0.029679971	1\1	0
